,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,id,point_attendance,point_motivation,point_extracurricular_activities,point_previous_scores,total_point
14,24,98,High,Medium,Yes,6,97,Medium,Yes,1,Medium,Medium,Public,Positive,4,No,College,Far,Male,74,358,20,10,10,48.5,162.5
15,19,99,High,Medium,Yes,6,100,Medium,Yes,1,Low,Medium,Private,Positive,1,No,High School,Moderate,Male,72,4435,20,10,10,50.0,162.0
16,11,99,High,Medium,Yes,7,89,High,Yes,3,Low,Medium,Public,Positive,3,No,College,Near,Male,72,5987,20,15,10,44.5,161.5
17,22,93,High,Medium,Yes,4,96,High,Yes,1,High,Low,Private,Positive,2,No,College,Near,Male,73,3140,15,15,10,48.0,161.0
18,19,99,High,Medium,Yes,8,84,High,Yes,0,High,Medium,Public,Positive,4,No,High School,Near,Female,73,2656,20,15,10,42.0,160.0
19,15,98,Medium,Medium,Yes,9,98,High,Yes,0,Medium,Medium,Private,Positive,3,No,High School,Near,Female,71,5150,20,10,10,49.0,160.0
20,26,100,High,Medium,Yes,6,79,High,Yes,1,Medium,High,Public,Positive,3,No,College,Moderate,Male,75,1914,20,15,10,39.5,159.5
21,32,97,High,Low,Yes,5,97,Low,Yes,1,Low,High,Public,Positive,5,No,College,Moderate,Female,76,2103,20,5,10,48.5,159.5
22,21,99,High,Medium,Yes,7,91,Medium,No,3,Medium,Medium,Public,Positive,4,No,College,Near,Male,74,5243,20,10,10,45.5,159.5
23,21,74,High,Medium,No,6,94,Medium,Yes,1,Low,High,Public,Positive,1,No,High School,Near,Male,97,885,5,10,0,47.0,159.0
24,25,99,High,Medium,Yes,7,88,Medium,Yes,3,Low,Medium,Private,Positive,4,No,College,Moderate,Female,75,3034,20,10,10,44.0,159.0
25,12,97,High,Low,Yes,6,96,Medium,Yes,2,Low,High,Public,Positive,2,No,Postgraduate,Near,Female,71,6265,20,10,10,48.0,159.0
26,7,99,High,Medium,Yes,9,94,Medium,Yes,3,High,High,Public,Positive,2,No,Postgraduate,Moderate,Male,72,1651,20,10,10,47.0,159.0
27,19,90,Medium,High,Yes,5,90,Low,Yes,0,Low,Medium,Public,Neutral,2,No,College,Far,Female,94,3018,15,-5,10,45.0,159.0
28,16,83,Low,Medium,Yes,8,92,Low,Yes,2,High,High,Public,Positive,4,No,Postgraduate,Near,Female,98,6177,10,-5,10,46.0,159.0
29,23,83,High,High,Yes,4,89,Low,Yes,1,Medium,Medium,Public,Negative,3,No,High School,Far,Male,99,2341,10,-5,10,44.5,158.5
30,22,96,Low,High,Yes,7,99,High,Yes,4,Low,Medium,Public,Positive,4,No,College,Moderate,Male,74,4210,20,5,10,49.5,158.5
31,34,93,High,Medium,Yes,6,93,High,Yes,2,Low,High,Public,Neutral,4,No,High School,Near,Male,77,5993,15,10,10,46.5,158.5
32,21,97,Medium,High,Yes,7,99,High,Yes,1,Medium,High,Public,Neutral,1,No,Postgraduate,Moderate,Male,74,1436,20,5,10,49.5,158.5
33,17,96,High,High,Yes,8,88,Medium,Yes,4,Low,Low,Private,Positive,4,No,Postgraduate,Near,Male,74,2695,20,10,10,44.0,158.0
34,33,93,Medium,Medium,Yes,6,96,High,Yes,0,Low,Medium,Private,Positive,4,No,Postgraduate,Far,Female,75,4221,15,10,10,48.0,158.0
35,27,92,Medium,Low,Yes,9,100,High,Yes,2,Medium,High,Public,Positive,0,No,Postgraduate,Moderate,Female,73,5220,15,10,10,50.0,158.0
36,29,96,Medium,High,Yes,8,95,Medium,Yes,0,High,Medium,Private,Positive,2,No,High School,Near,Female,75,5876,20,5,10,47.5,157.5
37,30,98,High,High,Yes,8,83,High,No,1,Low,High,Public,Neutral,3,No,High School,Near,Female,76,3105,20,10,10,41.5,157.5
38,19,98,Medium,High,Yes,8,87,High,Yes,1,Medium,Medium,Private,Positive,4,No,Postgraduate,Moderate,Male,74,5123,20,10,10,43.5,157.5
39,18,95,High,Medium,Yes,7,87,High,Yes,5,Medium,Medium,Public,Neutral,2,No,College,Near,Male,74,1039,20,10,10,43.5,157.5
40,24,98,Medium,Low,Yes,9,99,High,Yes,2,Low,High,Public,Neutral,2,No,Postgraduate,Far,Female,73,2524,20,5,10,49.5,157.5
41,16,99,Low,High,Yes,6,100,High,Yes,1,High,High,Public,Positive,3,No,High School,Far,Female,72,5384,20,5,10,50.0,157.0
42,31,93,High,Low,Yes,5,96,Medium,Yes,2,Low,Medium,Public,Positive,2,No,High School,Near,Male,74,487,15,10,10,48.0,157.0
43,43,86,High,Medium,Yes,7,97,Medium,Yes,2,Medium,High,Public,Positive,1,No,High School,Near,Female,78,207,10,10,10,48.5,156.5
44,24,99,Medium,Medium,Yes,5,99,Medium,Yes,0,Low,Medium,Public,Positive,3,No,High School,Moderate,Female,72,3508,20,5,10,49.5,156.5
45,18,97,Medium,High,Yes,7,93,Medium,Yes,5,High,Medium,Public,Positive,4,No,College,Near,Female,75,4097,20,5,10,46.5,156.5
46,24,93,High,Medium,Yes,8,96,Medium,Yes,0,Medium,Medium,Public,Positive,1,No,Postgraduate,Moderate,Male,73,2113,15,10,10,48.0,156.0
47,24,95,Medium,Low,Yes,6,96,High,Yes,3,Low,Medium,Private,Neutral,3,No,Postgraduate,Near,Female,73,5568,20,5,10,48.0,156.0
48,22,97,Medium,Medium,Yes,6,88,High,Yes,1,Low,Low,Private,Positive,4,No,College,Near,Male,72,1041,20,10,10,44.0,156.0
49,29,97,Medium,High,Yes,9,92,Medium,Yes,2,Low,Medium,Public,Positive,4,No,High School,Moderate,Female,75,6307,20,5,10,46.0,156.0
50,23,87,High,High,Yes,9,96,High,Yes,1,Medium,Medium,Private,Positive,1,No,College,Near,Female,73,4585,10,15,10,48.0,156.0
51,24,96,Low,High,No,6,93,Medium,Yes,2,Low,Medium,Public,Neutral,2,No,High School,Moderate,Female,94,742,20,-5,0,46.5,155.5
52,10,95,Medium,High,Yes,5,93,High,Yes,0,Low,High,Public,Positive,3,No,High School,Moderate,Male,69,6176,20,10,10,46.5,155.5
53,19,90,High,Medium,Yes,5,85,High,Yes,0,Medium,High,Private,Positive,5,No,Postgraduate,Near,Female,73,880,15,15,10,42.5,155.5
54,15,83,Medium,Medium,No,7,97,Medium,Yes,2,Low,High,Private,Neutral,2,No,High School,Near,Female,97,515,10,0,0,48.5,155.5
55,29,100,High,High,Yes,8,89,Medium,Yes,2,Medium,Medium,Private,Neutral,3,No,High School,Moderate,Female,76,1335,20,5,10,44.5,155.5
56,16,96,High,Medium,Yes,9,97,Medium,Yes,0,Medium,High,Private,Neutral,5,No,College,Near,Male,72,1885,20,5,10,48.5,155.5
57,30,97,High,Medium,Yes,6,72,High,Yes,1,Low,High,Public,Positive,2,No,High School,Far,Female,74,5782,20,15,10,36.0,155.0
58,21,88,High,High,Yes,7,92,High,Yes,2,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Female,74,1126,10,15,10,46.0,155.0
59,23,95,Medium,Medium,Yes,8,94,Medium,Yes,1,Medium,Medium,Public,Positive,4,No,High School,Near,Male,73,3869,20,5,10,47.0,155.0
60,16,80,High,Medium,Yes,8,98,High,Yes,2,Medium,High,Private,Positive,4,No,Postgraduate,Near,Male,71,3041,10,15,10,49.0,155.0
61,19,99,Medium,High,Yes,8,88,High,No,1,Low,High,Public,Positive,3,No,High School,Far,Female,71,5317,20,10,10,44.0,155.0
62,23,95,Medium,Medium,Yes,6,94,High,Yes,2,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,73,3277,20,5,10,47.0,155.0
63,21,97,Low,Medium,Yes,8,96,High,Yes,2,Low,High,Public,Positive,4,No,College,Moderate,Female,72,6122,20,5,10,48.0,155.0
64,30,98,Medium,High,Yes,7,96,Medium,Yes,1,Medium,Medium,Private,Neutral,3,No,Postgraduate,Near,Female,77,4574,20,0,10,48.0,155.0
65,17,96,High,Medium,Yes,7,84,Medium,Yes,2,Low,High,Private,Positive,3,No,College,Near,Female,72,1618,20,10,10,42.0,154.0
66,15,96,Medium,High,Yes,7,84,High,Yes,3,Medium,Low,Public,Positive,1,No,Postgraduate,Near,Male,72,1974,20,10,10,42.0,154.0
67,16,100,High,High,Yes,7,82,Medium,Yes,2,High,Medium,Public,Positive,2,No,High School,Near,Male,73,5203,20,10,10,41.0,154.0
68,28,99,Medium,Medium,Yes,6,88,Medium,Yes,3,Low,Medium,Public,Positive,4,No,High School,Near,Female,75,5475,20,5,10,44.0,154.0
69,30,100,High,High,Yes,6,90,Low,Yes,0,Medium,Low,Public,Positive,2,Yes,High School,Near,Male,74,4842,20,5,10,45.0,154.0
70,18,98,High,Medium,Yes,7,92,Medium,Yes,2,Low,High,Private,Neutral,4,No,High School,Near,Male,73,4446,20,5,10,46.0,154.0
71,21,67,Medium,Medium,Yes,6,88,Medium,Yes,1,Low,Medium,Private,Positive,5,No,Postgraduate,Near,Female,95,4154,0,5,10,44.0,154.0
72,20,97,High,Medium,Yes,7,94,High,Yes,1,Medium,Medium,Public,Negative,1,No,College,Moderate,Male,72,1199,20,5,10,47.0,154.0
73,31,95,High,Medium,Yes,5,87,Medium,Yes,2,Low,Medium,Public,Neutral,3,No,Postgraduate,Moderate,Male,75,897,20,5,10,43.5,153.5
74,18,96,Medium,Medium,Yes,4,93,Medium,Yes,0,Medium,High,Public,Positive,4,No,College,Near,Female,72,4795,20,5,10,46.5,153.5
75,27,92,High,Medium,Yes,6,99,Low,Yes,4,Low,Low,Private,Positive,3,No,High School,Near,Female,74,5811,15,5,10,49.5,153.5
76,14,98,High,High,Yes,7,83,Medium,No,3,Low,Medium,Public,Positive,3,No,College,Near,Male,72,579,20,10,10,41.5,153.5
77,32,90,Medium,Medium,Yes,5,98,High,Yes,0,Medium,High,Public,Neutral,3,No,College,Moderate,Male,74,5780,15,5,10,49.0,153.0
78,24,95,High,Medium,Yes,6,92,Medium,Yes,2,Low,Medium,Public,Neutral,3,No,High School,Far,Male,72,1901,20,5,10,46.0,153.0
79,28,97,Medium,Medium,Yes,7,88,High,Yes,2,Medium,Medium,Public,Neutral,2,No,High School,Moderate,Male,74,1797,20,5,10,44.0,153.0
80,28,98,High,Medium,Yes,7,86,Medium,Yes,2,Medium,High,Private,Neutral,2,No,High School,Near,Female,75,964,20,5,10,43.0,153.0
81,24,100,High,High,Yes,6,86,Low,Yes,2,Medium,Medium,Private,Positive,5,No,High School,Near,Male,75,220,20,5,10,43.0,153.0
82,28,89,High,Low,Yes,4,90,High,Yes,3,Low,High,Public,Positive,2,Yes,Postgraduate,Moderate,Female,73,1008,10,15,10,45.0,153.0
83,20,98,High,Low,Yes,9,95,Low,Yes,1,Low,Medium,Public,Positive,2,No,High School,Moderate,Female,70,2672,20,5,10,47.5,152.5
84,20,97,High,Low,Yes,6,93,Low,Yes,1,High,High,Public,Positive,1,No,College,Far,Male,71,4666,20,5,10,46.5,152.5
85,20,97,High,High,Yes,7,97,Low,Yes,2,Medium,High,Private,Neutral,4,No,High School,Moderate,Female,74,1817,20,0,10,48.5,152.5
86,20,100,Medium,Medium,Yes,8,91,Medium,Yes,3,Low,Medium,Public,Positive,3,No,High School,Near,Male,72,3691,20,5,10,45.5,152.5
87,23,87,High,High,Yes,8,91,High,Yes,0,High,Medium,Private,Positive,3,No,High School,Moderate,Male,72,184,10,15,10,45.5,152.5
88,16,99,High,Medium,Yes,5,73,High,Yes,1,Medium,Medium,Private,Positive,5,Yes,College,Far,Male,71,1326,20,15,10,36.5,152.5
89,34,96,Medium,Medium,Yes,5,94,High,Yes,1,Medium,High,Public,Negative,5,Yes,High School,Moderate,Female,75,3085,20,0,10,47.0,152.0
90,23,97,Medium,Medium,Yes,9,96,Medium,Yes,2,Medium,High,Private,Neutral,4,No,College,Near,Male,74,3398,20,0,10,48.0,152.0
91,25,95,High,Medium,Yes,8,96,Low,Yes,1,Medium,Medium,Public,Neutral,4,No,Postgraduate,Near,Male,74,5910,20,0,10,48.0,152.0
92,18,96,Medium,High,Yes,6,92,Medium,Yes,2,Medium,Medium,Public,Positive,3,No,High School,Far,Male,71,3685,20,5,10,46.0,152.0
93,23,95,High,Low,No,7,92,High,Yes,1,Low,Medium,Public,Positive,1,No,High School,Near,Female,71,4457,20,15,0,46.0,152.0
94,21,90,High,High,Yes,7,76,High,Yes,2,High,High,Public,Positive,3,No,College,Moderate,Female,74,5215,15,15,10,38.0,152.0
95,12,84,High,Medium,Yes,7,98,High,Yes,1,Low,Medium,Public,Positive,3,No,High School,Near,Female,68,2280,10,15,10,49.0,152.0
96,16,95,High,Medium,Yes,8,86,Medium,Yes,0,Low,Low,Public,Positive,4,No,High School,Moderate,Male,69,4779,20,10,10,43.0,152.0
97,24,95,Medium,High,Yes,8,86,High,Yes,1,Medium,High,Private,Neutral,3,No,College,Near,Male,74,323,20,5,10,43.0,152.0
98,18,96,Medium,High,Yes,9,80,High,Yes,1,Low,Medium,Public,Positive,3,No,College,Near,Male,72,5160,20,10,10,40.0,152.0
99,13,95,High,High,Yes,5,92,Low,Yes,1,Medium,Medium,Private,Positive,2,No,College,Near,Female,71,6132,20,5,10,46.0,152.0
100,11,98,High,High,Yes,5,82,High,Yes,1,Medium,Medium,Private,Neutral,2,No,Postgraduate,Near,Male,71,4601,20,10,10,41.0,152.0
101,24,96,High,High,Yes,7,96,Medium,Yes,1,Medium,Medium,Public,Negative,3,No,High School,Near,Female,74,4676,20,0,10,48.0,152.0
102,35,99,High,High,Yes,7,85,Low,Yes,2,Medium,High,Private,Neutral,2,No,Postgraduate,Near,Female,79,112,20,0,10,42.5,151.5
103,31,96,High,High,Yes,9,65,High,Yes,0,Low,Medium,Private,Positive,2,No,High School,Far,Male,74,2718,20,15,10,32.5,151.5
104,23,97,Medium,Medium,Yes,6,99,Low,Yes,1,Low,Medium,Private,Positive,3,No,High School,Near,Female,72,5325,20,0,10,49.5,151.5
105,31,96,Medium,Medium,Yes,8,93,Low,Yes,3,Low,Medium,Public,Positive,3,No,High School,Near,Male,75,960,20,0,10,46.5,151.5
106,20,97,High,Medium,Yes,6,81,High,Yes,2,Low,Low,Public,Neutral,3,No,High School,Moderate,Male,71,1456,20,10,10,40.5,151.5
107,22,100,High,Medium,No,7,95,Medium,Yes,2,Low,Medium,Public,Positive,4,No,College,Near,Male,74,5877,20,10,0,47.5,151.5
108,26,99,Medium,Medium,No,6,94,High,Yes,2,Medium,Medium,Public,Positive,3,No,High School,Near,Male,74,1765,20,10,0,47.0,151.0
109,27,96,High,Low,Yes,7,84,Medium,Yes,1,High,Medium,Public,Neutral,3,No,College,Near,Male,74,3336,20,5,10,42.0,151.0
110,12,80,High,High,Yes,10,92,High,Yes,1,High,High,Public,Positive,3,No,Postgraduate,Moderate,Male,70,3540,10,15,10,46.0,151.0
111,8,100,High,Medium,Yes,8,92,Medium,Yes,1,Medium,High,Public,Neutral,3,No,Postgraduate,Moderate,Female,70,420,20,5,10,46.0,151.0
112,28,99,High,Low,No,5,100,Medium,Yes,6,Medium,Medium,Private,Neutral,5,No,High School,Moderate,Female,76,4544,20,5,0,50.0,151.0
113,6,95,High,Medium,Yes,7,96,Medium,Yes,4,Low,Medium,Public,Neutral,2,No,High School,Moderate,Female,68,1534,20,5,10,48.0,151.0
114,21,95,High,Medium,Yes,6,66,High,Yes,1,Medium,High,Public,Positive,4,No,College,Near,Male,73,1560,20,15,10,33.0,151.0
115,24,95,Medium,Low,Yes,9,90,Medium,Yes,3,Low,Low,Public,Positive,4,No,High School,Moderate,Male,71,2965,20,5,10,45.0,151.0
116,27,95,Low,High,Yes,6,94,High,Yes,2,Medium,Medium,Public,Neutral,4,No,Postgraduate,Far,Female,74,5726,20,0,10,47.0,151.0
117,7,63,High,High,Yes,10,90,Medium,Yes,0,Low,Medium,Private,Positive,2,Yes,High School,Moderate,Male,86,3035,0,10,10,45.0,151.0
118,14,100,Medium,Medium,Yes,4,100,Medium,Yes,3,Low,Medium,Public,Neutral,3,No,Postgraduate,Moderate,Female,71,5368,20,0,10,50.0,151.0
119,18,97,High,Low,Yes,7,79,Medium,Yes,3,High,Medium,Private,Positive,3,No,High School,Far,Male,71,5380,20,10,10,39.5,150.5
120,18,95,High,High,Yes,8,85,Low,Yes,2,Low,High,Public,Positive,3,No,College,Near,Female,73,2083,20,5,10,42.5,150.5
121,26,98,Medium,Low,Yes,7,97,Medium,Yes,2,Low,Medium,Public,Neutral,2,Yes,Postgraduate,Moderate,Male,72,5768,20,0,10,48.5,150.5
122,26,99,Low,High,Yes,4,91,High,Yes,2,High,Low,Public,Neutral,4,No,Postgraduate,Moderate,Female,75,1042,20,0,10,45.5,150.5
123,19,96,Medium,Medium,Yes,7,95,High,Yes,3,Medium,High,Private,Negative,3,No,College,Near,Female,73,3036,20,0,10,47.5,150.5
124,16,97,Medium,Low,Yes,8,81,High,Yes,0,High,High,Private,Positive,2,No,High School,Near,Male,70,5664,20,10,10,40.5,150.5
125,29,95,Low,Medium,Yes,4,97,Medium,Yes,0,Medium,Medium,Private,Positive,4,Yes,College,Moderate,Female,72,610,20,0,10,48.5,150.5
126,29,97,High,Medium,Yes,7,74,Medium,Yes,1,Medium,Low,Public,Positive,4,Yes,High School,Near,Female,73,4507,20,10,10,37.0,150.0
127,11,99,Medium,High,Yes,7,88,High,No,4,Medium,Low,Private,Neutral,3,No,College,Near,Male,71,2111,20,5,10,44.0,150.0
128,25,90,Medium,Medium,Yes,7,96,Medium,Yes,1,Medium,Medium,Public,Positive,4,No,College,Moderate,Male,72,5864,15,5,10,48.0,150.0
129,23,95,Medium,Medium,Yes,7,86,Medium,Yes,3,Low,Medium,Public,Positive,4,Yes,Postgraduate,Far,Male,72,441,20,5,10,43.0,150.0
130,19,97,High,Medium,Yes,6,66,High,Yes,2,Medium,Medium,Private,Positive,2,No,College,Moderate,Female,72,306,20,15,10,33.0,150.0
131,12,96,High,High,Yes,5,84,Low,Yes,3,High,Medium,Public,Positive,4,No,Postgraduate,Near,Female,73,2458,20,5,10,42.0,150.0
132,21,98,High,Medium,Yes,7,68,High,Yes,0,Medium,Medium,Public,Positive,3,Yes,College,Near,Female,71,2822,20,15,10,34.0,150.0
133,18,95,Medium,High,Yes,6,94,Medium,Yes,6,Low,High,Public,Neutral,3,No,High School,Far,Female,73,3492,20,0,10,47.0,150.0
134,15,83,High,High,Yes,8,100,Medium,Yes,0,Medium,Medium,Public,Positive,3,No,College,Near,Female,70,1317,10,10,10,50.0,150.0
135,14,98,Medium,Medium,Yes,10,82,High,Yes,1,Low,Medium,Private,Positive,3,No,High School,Moderate,Male,69,1523,20,10,10,41.0,150.0
136,18,100,High,Medium,Yes,10,86,Medium,Yes,1,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,72,4590,20,5,10,43.0,150.0
137,29,90,High,Medium,Yes,7,94,Medium,Yes,1,Low,Low,Private,Neutral,4,No,High School,Near,Female,73,1616,15,5,10,47.0,150.0
138,12,99,High,High,Yes,6,80,Medium,No,0,High,Medium,Public,Positive,3,No,High School,Moderate,Male,70,673,20,10,10,40.0,150.0
139,23,94,High,Medium,Yes,6,84,High,Yes,0,Low,High,Public,Neutral,3,No,Postgraduate,Near,Male,73,4643,15,10,10,42.0,150.0
140,19,80,High,High,Yes,6,100,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,High School,Near,Male,70,6345,10,10,10,50.0,150.0
141,22,93,High,Low,Yes,9,97,Medium,Yes,2,Medium,Medium,Public,Neutral,3,Yes,High School,Near,Male,71,1990,15,5,10,48.5,149.5
142,24,98,Medium,Medium,Yes,7,91,Medium,Yes,2,Medium,Medium,Public,Neutral,4,No,Postgraduate,Near,Male,74,2,20,0,10,45.5,149.5
143,14,100,Medium,Low,Yes,8,91,High,Yes,0,Low,High,Public,Neutral,3,No,High School,Near,Female,69,2599,20,5,10,45.5,149.5
144,14,94,High,Medium,Yes,5,89,Medium,Yes,0,Medium,Medium,Public,Positive,1,No,Postgraduate,Near,Female,70,5053,15,10,10,44.5,149.5
145,24,95,Medium,High,Yes,7,71,High,Yes,1,Medium,High,Public,Positive,3,No,High School,Near,Male,74,4865,20,10,10,35.5,149.5
146,22,98,Medium,Medium,Yes,6,93,Medium,Yes,4,Low,Medium,Public,Neutral,4,No,High School,Near,Female,73,3053,20,0,10,46.5,149.5
147,14,75,Medium,Medium,Yes,5,95,Medium,Yes,0,Medium,Medium,Public,Positive,3,No,College,Moderate,Male,82,2851,5,5,10,47.5,149.5
148,17,97,High,Low,Yes,8,89,Medium,Yes,1,Low,Medium,Public,Neutral,4,No,College,Near,Male,70,2864,20,5,10,44.5,149.5
149,18,94,Medium,Medium,Yes,6,87,High,Yes,1,Medium,Medium,Public,Positive,4,No,High School,Near,Male,71,56,15,10,10,43.5,149.5
150,19,91,Medium,Medium,Yes,6,99,High,Yes,0,Medium,Medium,Public,Neutral,2,No,High School,Near,Female,70,4923,15,5,10,49.5,149.5
151,17,96,Medium,High,Yes,8,87,Medium,Yes,0,Medium,Medium,Private,Positive,5,No,High School,Moderate,Male,71,5650,20,5,10,43.5,149.5
152,20,97,Low,Medium,Yes,9,83,High,Yes,3,Medium,High,Public,Positive,3,No,Postgraduate,Near,Female,73,6123,20,5,10,41.5,149.5
153,13,98,High,Medium,Yes,5,89,High,Yes,1,High,Medium,Public,Negative,3,No,High School,Near,Male,70,3181,20,5,10,44.5,149.5
154,3,92,High,Low,Yes,5,95,High,Yes,3,Medium,Medium,Public,Neutral,1,No,Postgraduate,Near,Female,67,3046,15,10,10,47.5,149.5
155,20,95,High,Medium,Yes,8,87,Low,Yes,0,Low,Medium,Private,Positive,3,No,Postgraduate,Moderate,Female,71,2140,20,5,10,43.5,149.5
156,26,90,High,High,Yes,8,91,Medium,Yes,1,High,High,Private,Neutral,4,Yes,High School,Near,Male,74,3127,15,5,10,45.5,149.5
157,24,90,Low,Low,Yes,9,97,High,Yes,3,Low,Medium,Public,Positive,4,No,High School,Near,Male,71,5191,15,5,10,48.5,149.5
158,16,96,Medium,Medium,Yes,4,77,High,Yes,1,High,High,Public,Positive,2,No,High School,Near,Male,71,3040,20,10,10,38.5,149.5
159,20,90,Medium,Low,Yes,7,97,Medium,Yes,2,High,High,Public,Positive,3,No,College,Moderate,Male,71,5416,15,5,10,48.5,149.5
160,26,100,High,High,Yes,6,76,High,Yes,0,Medium,High,Public,Negative,4,No,Postgraduate,Near,Male,76,5837,20,5,10,38.0,149.0
161,18,93,Medium,High,Yes,8,96,Medium,Yes,2,Medium,Low,Public,Positive,2,No,High School,Moderate,Female,71,2415,15,5,10,48.0,149.0
162,27,92,Medium,Medium,Yes,10,86,High,Yes,0,Low,Low,Private,Positive,3,No,High School,Moderate,Male,71,2293,15,10,10,43.0,149.0
163,30,91,Medium,Medium,Yes,7,78,High,Yes,3,Medium,Medium,Private,Positive,2,No,Postgraduate,Near,Male,75,1208,15,10,10,39.0,149.0
164,39,90,High,High,No,8,92,High,Yes,2,Medium,High,Private,Neutral,1,No,High School,Near,Female,78,3591,15,10,0,46.0,149.0
165,30,95,Medium,Medium,Yes,7,90,Medium,Yes,3,Medium,Medium,Public,Neutral,1,No,High School,Moderate,Male,74,3412,20,0,10,45.0,149.0
166,28,81,Medium,Medium,Yes,6,96,High,Yes,2,Low,Medium,Private,Positive,5,No,High School,Moderate,Male,71,4325,10,10,10,48.0,149.0
167,17,97,Medium,High,Yes,9,88,Medium,No,0,Medium,Medium,Public,Positive,2,No,High School,Near,Male,70,543,20,5,10,44.0,149.0
168,12,96,High,High,No,5,88,High,Yes,0,Medium,Medium,Private,Positive,2,No,College,Moderate,Female,70,4764,20,15,0,44.0,149.0
169,30,84,High,Medium,Yes,9,94,Medium,Yes,1,Low,High,Private,Positive,2,Yes,High School,Near,Female,72,3991,10,10,10,47.0,149.0
170,16,88,Medium,High,Yes,5,94,High,Yes,4,Medium,Medium,Private,Positive,6,No,College,Moderate,Male,72,3211,10,10,10,47.0,149.0
171,12,82,High,Medium,Yes,6,96,High,Yes,0,Low,Low,Private,Positive,4,Yes,College,Near,Male,66,2117,10,15,10,48.0,149.0
172,20,99,High,Low,Yes,9,76,High,Yes,2,Low,Medium,Public,Neutral,5,No,College,Far,Male,71,3237,20,10,10,38.0,149.0
173,10,96,High,High,Yes,7,92,Medium,Yes,1,Low,Low,Public,Neutral,1,No,High School,Near,Female,68,2201,20,5,10,46.0,149.0
174,19,95,Medium,Medium,Yes,7,95,High,Yes,0,Medium,High,Private,Negative,2,No,College,Near,Male,71,4367,20,0,10,47.5,148.5
175,19,86,High,High,Yes,7,93,High,Yes,1,Medium,High,Public,Neutral,2,No,High School,Near,Male,72,5533,10,10,10,46.5,148.5
176,34,82,Medium,High,Yes,9,87,High,Yes,3,Low,Medium,Public,Positive,4,No,High School,Near,Female,75,6103,10,10,10,43.5,148.5
177,29,95,High,Medium,Yes,7,91,Low,Yes,1,Low,Medium,Public,Neutral,3,No,High School,Moderate,Female,73,1322,20,0,10,45.5,148.5
178,27,98,High,Low,Yes,6,93,Low,Yes,0,Low,Medium,Private,Neutral,4,No,High School,Moderate,Male,72,3558,20,0,10,46.5,148.5
