,id,Exam_Score,point_attendance,point_motivation,point_extracurricular_activities,point_previous_scores,total_point
161,2415,71,15,5,10,48.0,149.0
162,2293,71,15,10,10,43.0,149.0
163,1208,75,15,10,10,39.0,149.0
164,3591,78,15,10,0,46.0,149.0
165,3412,74,20,0,10,45.0,149.0
166,4325,71,10,10,10,48.0,149.0
167,543,70,20,5,10,44.0,149.0
168,4764,70,20,15,0,44.0,149.0
169,3991,72,10,10,10,47.0,149.0
170,3211,72,10,10,10,47.0,149.0
171,2117,66,10,15,10,48.0,149.0
172,3237,71,20,10,10,38.0,149.0
173,2201,68,20,5,10,46.0,149.0
174,4367,71,20,0,10,47.5,148.5
175,5533,72,10,10,10,46.5,148.5
176,6103,75,10,10,10,43.5,148.5
177,1322,73,20,0,10,45.5,148.5
178,3558,72,20,0,10,46.5,148.5
179,1962,72,10,10,10,46.5,148.5
180,2425,72,15,5,10,46.5,148.5
181,5913,69,10,10,10,49.5,148.5
182,6376,68,10,15,10,45.5,148.5
183,4623,92,10,0,10,36.0,148.0
184,2483,75,20,5,0,48.0,148.0
185,4416,71,10,10,10,47.0,148.0
186,1777,89,15,5,10,29.0,148.0
187,2507,74,20,10,0,44.0,148.0
188,1546,73,20,5,0,50.0,148.0
189,324,70,10,10,10,48.0,148.0
190,2385,74,20,-5,10,49.0,148.0
191,5585,75,15,10,0,48.0,148.0
192,4763,69,5,15,10,49.0,148.0
193,5819,71,15,5,10,47.0,148.0
194,219,67,20,10,10,41.0,148.0
195,1119,76,15,0,10,47.0,148.0
196,781,73,10,10,10,45.0,148.0
197,6174,68,20,0,10,50.0,148.0
198,3857,69,10,10,10,49.0,148.0
199,2017,72,5,15,10,45.5,147.5
200,6234,70,15,5,10,47.5,147.5
201,6186,70,10,10,10,47.5,147.5
202,555,74,15,10,10,38.5,147.5
203,2353,75,20,0,10,42.5,147.5
204,3986,70,15,5,10,47.5,147.5
205,2533,70,20,0,10,47.5,147.5
206,2390,73,20,10,10,34.5,147.5
207,2928,74,20,5,10,38.5,147.5
208,5390,75,15,0,10,47.5,147.5
209,4266,69,10,10,10,48.5,147.5
210,5751,72,20,0,10,45.5,147.5
211,6311,70,20,10,10,37.5,147.5
212,5745,74,20,-5,10,48.5,147.5
213,314,70,10,10,10,47.5,147.5
214,3131,76,20,10,10,31.5,147.5
215,3010,72,20,0,10,45.5,147.5
216,1006,73,10,5,10,49.5,147.5
217,2147,74,20,10,0,43.0,147.0
218,3332,73,20,10,10,34.0,147.0
219,1581,72,20,-5,10,50.0,147.0
220,91,71,20,0,10,46.0,147.0
221,6149,75,15,0,10,47.0,147.0
222,805,94,5,0,0,48.0,147.0
223,6365,72,20,-5,10,50.0,147.0
224,878,72,15,0,10,50.0,147.0
225,2101,70,15,15,10,37.0,147.0
226,450,72,10,10,10,45.0,147.0
227,1365,70,10,10,10,47.0,147.0
228,2122,72,15,5,10,45.0,147.0
229,3266,74,20,5,0,48.0,147.0
230,4868,71,15,5,10,46.0,147.0
231,3981,68,20,5,10,44.0,147.0
232,4269,72,15,5,10,45.0,147.0
233,5104,73,20,5,0,49.0,147.0
234,4450,69,20,5,10,43.0,147.0
235,4858,71,20,10,10,36.0,147.0
236,2193,69,20,5,10,43.0,147.0
237,1852,70,20,5,10,41.5,146.5
238,2687,70,10,15,10,41.5,146.5
239,512,67,10,10,10,49.5,146.5
240,2371,74,15,0,10,47.5,146.5
241,4003,73,10,10,10,43.5,146.5
242,633,72,5,10,10,49.5,146.5
243,4916,73,10,10,10,43.5,146.5
244,2982,72,10,5,10,49.5,146.5
245,1439,73,20,-5,10,48.5,146.5
246,547,75,15,0,10,46.5,146.5
247,6194,74,20,5,0,47.5,146.5
248,5619,71,20,5,10,40.5,146.5
249,2456,77,5,10,10,44.5,146.5
250,5477,73,20,-5,10,48.5,146.5
251,2181,74,20,5,0,47.5,146.5
252,3886,69,20,0,10,47.5,146.5
253,2348,72,20,0,10,44.5,146.5
254,1271,71,15,5,10,45.5,146.5
255,2887,72,15,10,0,49.5,146.5
256,4551,72,20,0,10,44.5,146.5
257,3339,69,20,0,10,47.5,146.5
258,4252,71,20,5,10,40.0,146.0
259,6236,74,20,5,10,37.0,146.0
260,2634,73,20,10,10,33.0,146.0
261,2804,88,0,10,10,38.0,146.0
262,4885,71,20,-5,10,50.0,146.0
263,1332,73,15,5,10,43.0,146.0
264,1478,72,20,5,0,49.0,146.0
265,6135,68,10,15,10,43.0,146.0
266,3250,71,20,10,0,45.0,146.0
267,712,73,10,5,10,48.0,146.0
268,4686,72,10,10,10,44.0,146.0
269,459,72,10,5,10,49.0,146.0
270,2620,72,20,0,10,44.0,146.0
271,4689,71,10,5,10,50.0,146.0
272,3364,75,15,0,10,45.5,145.5
273,2476,72,10,10,10,43.5,145.5
274,4339,71,10,5,10,49.5,145.5
275,922,73,20,5,10,37.5,145.5
276,4099,69,15,10,10,41.5,145.5
277,5787,80,0,10,10,45.5,145.5
278,1472,67,20,0,10,48.5,145.5
279,2041,73,15,15,0,42.5,145.5
280,683,67,20,5,10,43.5,145.5
281,1025,70,10,10,10,45.5,145.5
282,5197,73,20,5,10,37.5,145.5
283,1032,70,20,10,10,35.5,145.5
284,2870,72,5,10,10,48.5,145.5
285,2477,71,10,5,10,49.5,145.5
286,2977,70,20,10,10,35.5,145.5
287,4613,74,20,0,10,41.5,145.5
288,6047,66,10,15,10,44.5,145.5
289,3603,72,15,10,10,38.5,145.5
290,4989,74,15,10,0,46.5,145.5
291,661,72,15,0,10,48.5,145.5
292,1091,72,20,0,10,43.5,145.5
293,340,73,20,10,0,42.5,145.5
294,6158,71,20,-5,10,49.0,145.0
295,6111,72,20,5,0,48.0,145.0
296,1637,72,15,10,10,38.0,145.0
297,5108,73,15,0,10,47.0,145.0
298,5002,72,20,5,10,38.0,145.0
299,2666,70,15,10,10,40.0,145.0
300,4882,71,20,5,0,49.0,145.0
301,6275,72,20,5,10,38.0,145.0
302,1378,72,10,5,10,48.0,145.0
303,1147,69,20,5,10,41.0,145.0
304,3159,73,20,5,0,47.0,145.0
305,860,75,15,5,10,40.0,145.0
306,2490,70,20,-5,10,50.0,145.0
307,4972,70,15,5,10,45.0,145.0
308,4324,74,20,5,10,36.0,145.0
309,4675,72,15,10,10,38.0,145.0
310,2124,74,15,5,10,41.0,145.0
311,1806,73,20,0,10,42.0,145.0
312,6058,73,15,0,10,47.0,145.0
313,4432,71,20,0,10,44.0,145.0
314,1517,71,10,10,10,44.0,145.0
315,1397,70,5,10,10,50.0,145.0
316,2342,70,20,0,10,44.5,144.5
317,5896,72,15,0,10,47.5,144.5
318,4298,68,5,15,10,46.5,144.5
319,1582,70,20,-5,10,49.5,144.5
320,2142,70,20,-5,10,49.5,144.5
321,2115,73,20,-5,10,46.5,144.5
322,2755,71,20,5,10,38.5,144.5
323,2621,71,15,0,10,48.5,144.5
324,5755,70,5,10,10,49.5,144.5
325,4591,72,20,-5,10,47.5,144.5
326,530,68,10,10,10,46.5,144.5
327,531,71,10,5,10,48.5,144.5
328,2368,68,20,0,10,46.5,144.5
329,2155,71,20,10,10,33.5,144.5
330,5321,70,10,10,10,44.5,144.5
331,4204,68,20,5,10,41.5,144.5
332,713,73,20,5,10,36.5,144.5
333,541,69,20,0,10,45.5,144.5
334,5219,71,20,-5,10,48.5,144.5
335,3275,74,10,5,10,45.5,144.5
336,6143,70,20,15,10,29.0,144.0
337,4825,72,10,5,10,47.0,144.0
338,1356,75,15,5,0,49.0,144.0
339,2749,67,10,10,10,47.0,144.0
340,3294,72,20,5,10,37.0,144.0
341,4317,70,10,5,10,49.0,144.0
342,508,70,20,0,10,44.0,144.0
343,1370,71,20,5,10,38.0,144.0
344,1555,77,20,10,10,27.0,144.0
345,3337,96,15,-5,0,38.0,144.0
346,1186,73,15,0,10,46.0,144.0
347,3119,73,20,0,10,41.0,144.0
348,947,69,20,-5,10,50.0,144.0
349,5941,68,20,0,10,46.0,144.0
350,3800,72,10,5,10,47.0,144.0
351,2557,72,20,0,10,42.0,144.0
352,2288,74,10,5,10,45.0,144.0
353,1740,70,15,0,10,49.0,144.0
354,73,69,20,15,10,30.0,144.0
355,5107,75,20,-5,10,44.0,144.0
356,2635,73,10,5,10,46.0,144.0
357,5354,74,10,0,10,50.0,144.0
358,4531,69,20,-5,10,49.5,143.5
359,4469,69,10,10,10,44.5,143.5
360,209,74,10,5,10,44.5,143.5
361,4179,75,10,15,10,33.5,143.5
362,4146,72,15,5,10,41.5,143.5
363,4482,69,10,5,10,49.5,143.5
364,3081,72,10,10,10,41.5,143.5
365,3587,71,20,-5,10,47.5,143.5
366,3962,72,15,0,10,46.5,143.5
367,2853,73,20,0,10,40.5,143.5
368,117,73,20,0,10,40.5,143.5
369,1973,69,5,10,10,49.5,143.5
370,3197,70,10,5,10,48.5,143.5
371,5829,72,10,5,10,46.5,143.5
372,5351,70,20,0,10,43.5,143.5
373,1593,71,10,10,10,42.5,143.5
374,5376,71,10,5,10,47.5,143.5
375,4962,70,15,0,10,48.5,143.5
376,5748,69,5,10,10,49.5,143.5
377,529,72,10,5,10,46.5,143.5
378,2605,72,20,10,0,41.5,143.5
379,5372,70,20,-5,10,48.5,143.5
380,5926,74,20,0,0,49.5,143.5
381,389,75,10,0,10,48.5,143.5
382,3850,70,20,0,10,43.5,143.5
383,2272,70,15,10,10,38.0,143.0
384,1981,71,15,0,10,47.0,143.0
385,6022,70,5,10,10,48.0,143.0
386,2267,71,15,5,10,42.0,143.0
387,4723,68,10,10,10,45.0,143.0
388,3446,70,20,0,10,43.0,143.0
389,5828,69,10,5,10,49.0,143.0
390,5599,72,20,5,10,36.0,143.0
391,1843,74,15,-5,10,49.0,143.0
392,444,71,20,10,10,32.0,143.0
393,3302,70,20,-5,10,48.0,143.0
394,1260,69,15,5,10,44.0,143.0
395,201,74,20,5,10,34.0,143.0
396,2793,75,20,5,0,43.0,143.0
397,765,72,10,5,10,46.0,143.0
398,6124,71,20,5,10,37.0,143.0
399,1620,72,15,5,10,41.0,143.0
400,1927,71,20,-5,10,47.0,143.0
401,3936,71,15,5,10,42.0,143.0
402,114,73,10,10,10,40.0,143.0
403,6304,68,10,10,10,45.0,143.0
404,27,71,10,5,10,47.0,143.0
405,2237,71,10,5,10,47.0,143.0
406,5414,67,10,10,10,46.0,143.0
407,5201,68,15,5,10,44.5,142.5
408,2183,73,15,0,10,44.5,142.5
409,6118,72,20,10,10,30.5,142.5
410,5044,70,20,10,10,32.5,142.5
411,1426,70,5,10,10,47.5,142.5
412,1528,70,15,5,10,42.5,142.5
413,326,69,15,0,10,48.5,142.5
414,3246,86,5,10,10,31.5,142.5
415,1919,73,15,0,10,44.5,142.5
416,4466,73,20,5,10,34.5,142.5
417,4520,68,20,10,0,44.5,142.5
418,2618,74,20,-5,10,43.5,142.5
419,6340,73,10,10,0,49.5,142.5
420,5752,73,20,5,0,44.5,142.5
421,9,72,20,5,10,35.5,142.5
422,766,72,10,5,10,45.5,142.5
423,3702,68,5,10,10,49.5,142.5
424,4389,69,5,10,10,48.5,142.5
425,5630,70,10,5,10,47.5,142.5
426,6012,71,15,0,10,46.5,142.5
427,701,72,20,5,10,35.5,142.5
428,499,69,15,0,10,48.5,142.5
429,1188,72,5,5,10,50.0,142.0
430,871,72,20,5,0,45.0,142.0
431,5840,72,20,0,10,40.0,142.0
432,2082,72,20,0,10,40.0,142.0
433,971,70,10,5,10,47.0,142.0
434,1894,74,15,-5,10,48.0,142.0
435,3624,72,20,10,10,30.0,142.0
436,2693,70,10,5,10,47.0,142.0
437,1550,67,5,10,10,50.0,142.0
438,141,72,15,5,0,50.0,142.0
439,2166,72,20,5,10,35.0,142.0
440,5934,70,20,10,10,32.0,142.0
441,4533,69,15,0,10,48.0,142.0
442,1965,76,15,15,10,26.0,142.0
443,5634,70,10,5,10,47.0,142.0
444,4394,73,15,5,0,49.0,142.0
445,1038,69,10,5,10,48.0,142.0
446,70,71,20,5,10,36.0,142.0
447,3545,73,20,5,10,34.0,142.0
448,2058,73,20,0,10,39.0,142.0
449,5523,70,15,0,10,47.0,142.0
450,3073,72,15,0,10,45.0,142.0
451,6297,95,15,-5,10,27.0,142.0
452,3323,74,20,5,10,33.0,142.0
453,3832,70,15,10,10,37.0,142.0
454,3033,70,10,10,10,42.0,142.0
455,5020,72,20,5,0,45.0,142.0
456,317,67,10,15,10,40.0,142.0
457,2758,70,0,15,10,47.0,142.0
458,3270,74,15,5,0,48.0,142.0
459,4014,71,20,5,10,36.0,142.0
460,828,68,5,15,10,44.0,142.0
461,1093,71,20,0,10,41.0,142.0
462,2526,70,20,5,10,37.0,142.0
463,2638,74,15,10,0,43.0,142.0
464,6110,70,20,0,10,42.0,142.0
465,5853,69,10,10,10,43.0,142.0
466,3656,70,10,5,10,47.0,142.0
467,2096,72,20,5,10,34.5,141.5
468,2544,72,10,5,10,44.5,141.5
469,6173,74,15,10,0,42.5,141.5
470,4473,72,20,0,10,39.5,141.5
471,2167,69,5,10,10,47.5,141.5
472,4232,75,20,0,10,36.5,141.5
473,3201,70,20,5,10,36.5,141.5
474,695,72,20,5,10,34.5,141.5
475,2361,73,20,10,10,28.5,141.5
476,92,69,20,5,10,37.5,141.5
477,2964,71,20,5,10,35.5,141.5
478,3667,70,10,5,10,46.5,141.5
479,6000,69,20,10,10,32.5,141.5
480,3402,70,20,10,10,31.5,141.5
481,3152,72,20,5,10,34.5,141.5
482,2330,73,20,5,10,33.5,141.5
483,5922,71,20,10,10,30.5,141.5
484,5113,68,10,5,10,48.5,141.5
485,5906,69,20,5,0,47.5,141.5
486,5666,69,20,0,10,42.5,141.5
487,147,72,20,5,10,34.5,141.5
488,5506,72,20,5,0,44.5,141.5
489,4375,72,20,5,10,34.5,141.5
490,6298,70,10,10,10,41.5,141.5
491,4107,78,15,5,10,33.5,141.5
492,6209,69,10,15,0,47.5,141.5
493,3502,75,15,10,10,31.5,141.5
494,5832,70,15,0,10,46.5,141.5
495,1525,70,5,10,10,46.5,141.5
496,1031,72,15,0,10,44.5,141.5
497,5076,69,10,5,10,47.5,141.5
498,789,70,20,-5,10,46.5,141.5
499,1845,72,20,10,10,29.5,141.5
500,917,71,15,0,10,45.5,141.5
501,3061,73,15,10,10,33.5,141.5
502,4525,73,20,0,10,38.5,141.5
503,182,69,15,0,10,47.5,141.5
504,3429,75,15,10,10,31.5,141.5
505,83,70,20,5,0,46.5,141.5
506,381,72,15,5,10,39.5,141.5
507,5883,67,20,0,10,44.0,141.0
508,866,70,10,5,10,46.0,141.0
509,905,68,10,10,10,43.0,141.0
510,3774,73,10,10,0,48.0,141.0
511,1911,68,20,5,10,38.0,141.0
512,3945,70,5,15,10,41.0,141.0
513,23,66,5,10,10,50.0,141.0
514,3271,69,10,10,10,42.0,141.0
515,4300,71,20,5,0,45.0,141.0
516,1491,68,20,-5,10,48.0,141.0
517,6070,74,15,10,0,42.0,141.0
518,1445,69,15,5,10,42.0,141.0
519,1757,72,20,0,10,39.0,141.0
520,4811,71,15,0,10,45.0,141.0
521,3899,74,15,-5,10,47.0,141.0
522,4374,74,20,0,10,37.0,141.0
523,4128,72,15,-5,10,49.0,141.0
524,1217,70,20,10,10,31.0,141.0
525,3401,76,20,10,0,35.0,141.0
526,5613,74,20,0,0,47.0,141.0
527,1636,70,5,10,10,46.0,141.0
528,2527,72,10,0,10,49.0,141.0
529,4877,70,15,5,10,41.0,141.0
530,1219,69,10,5,10,47.0,141.0
531,3765,72,15,5,10,39.0,141.0
532,3963,70,15,5,10,41.0,141.0
533,3385,70,20,-5,10,46.0,141.0
534,1807,71,15,0,10,45.0,141.0
535,500,67,10,5,10,49.0,141.0
536,4894,72,15,10,10,34.0,141.0
537,6007,69,15,15,10,32.0,141.0
538,5009,67,15,10,0,49.0,141.0
539,4859,73,20,0,0,48.0,141.0
540,721,67,10,10,10,44.0,141.0
541,2403,66,20,10,10,35.0,141.0
542,5,71,10,5,10,44.5,140.5
543,6305,72,15,10,0,43.5,140.5
544,680,69,20,5,10,36.5,140.5
545,1828,68,5,10,10,47.5,140.5
546,1511,70,10,5,10,45.5,140.5
547,2130,71,10,5,10,44.5,140.5
548,1274,69,5,15,10,41.5,140.5
549,1562,71,20,10,0,39.5,140.5
550,1499,70,10,5,10,45.5,140.5
551,932,71,15,0,10,44.5,140.5
552,3175,68,10,10,10,42.5,140.5
553,3477,76,20,0,0,44.5,140.5
554,4563,74,20,0,0,46.5,140.5
555,5996,74,15,5,0,46.5,140.5
556,2609,72,20,0,0,48.5,140.5
557,1594,74,15,5,10,36.5,140.5
558,593,72,10,0,10,48.5,140.5
559,1583,71,20,0,0,49.5,140.5
560,550,71,5,15,0,49.5,140.5
561,2603,71,10,5,10,44.5,140.5
562,650,70,15,10,10,35.5,140.5
563,5357,73,15,10,10,32.5,140.5
564,3204,73,10,0,10,47.5,140.5
565,4408,68,10,5,10,47.5,140.5
566,3696,73,10,10,0,47.5,140.5
567,3836,71,15,10,10,34.5,140.5
568,533,68,20,-5,10,47.5,140.5
569,3672,70,20,5,10,35.5,140.5
570,3787,70,10,5,10,45.5,140.5
571,1619,71,20,10,0,39.5,140.5
572,5034,66,0,15,10,49.5,140.5
573,2802,67,5,10,10,48.5,140.5
574,6034,69,10,5,10,46.5,140.5
575,3170,71,20,0,0,49.0,140.0
576,3376,69,10,10,10,41.0,140.0
577,4296,71,5,5,10,49.0,140.0
578,3620,68,15,10,0,47.0,140.0
579,5030,71,10,5,10,44.0,140.0
580,1132,66,10,5,10,49.0,140.0
581,2781,68,5,10,10,47.0,140.0
582,2498,71,10,10,10,39.0,140.0
583,4800,70,10,5,10,45.0,140.0
584,4019,68,10,5,10,47.0,140.0
585,2493,72,15,5,0,48.0,140.0
586,3988,70,5,5,10,50.0,140.0
587,2757,70,5,5,10,50.0,140.0
588,6076,72,20,-10,10,48.0,140.0
589,5563,70,20,0,10,40.0,140.0
590,1929,71,20,10,10,29.0,140.0
591,2810,67,5,10,10,48.0,140.0
592,3920,70,10,5,10,45.0,140.0
593,2646,72,5,5,10,48.0,140.0
594,5617,71,10,0,10,49.0,140.0
595,4009,74,10,10,0,46.0,140.0
596,2655,71,10,10,10,39.0,140.0
597,2866,70,10,5,10,45.0,140.0
598,2188,68,10,5,10,47.0,140.0
599,4481,73,10,5,10,42.0,140.0
600,5584,72,10,10,0,48.0,140.0
601,5570,73,15,5,0,47.0,140.0
602,154,72,15,5,10,38.0,140.0
603,2324,72,15,-5,10,48.0,140.0
604,1696,74,20,10,10,26.0,140.0
605,5994,71,10,0,10,49.0,140.0
606,5401,74,20,5,0,41.0,140.0
607,3824,71,15,0,10,44.0,140.0
608,3215,68,20,10,10,32.0,140.0
609,1372,72,10,0,10,48.0,140.0
610,108,69,5,10,10,46.0,140.0
611,3644,68,10,5,10,46.5,139.5
612,2990,70,5,5,10,49.5,139.5
613,2883,71,15,5,10,38.5,139.5
614,2791,68,5,10,10,46.5,139.5
615,901,71,20,5,0,43.5,139.5
616,5059,72,20,5,0,42.5,139.5
617,4310,69,20,0,10,40.5,139.5
618,5515,75,20,5,10,29.5,139.5
619,4184,73,15,0,10,41.5,139.5
620,5111,71,15,0,10,43.5,139.5
621,5217,70,15,0,10,44.5,139.5
622,4361,71,20,0,10,38.5,139.5
623,1677,70,10,5,10,44.5,139.5
624,1324,69,10,5,10,45.5,139.5
625,5363,69,20,5,0,45.5,139.5
626,2963,68,5,10,10,46.5,139.5
627,3158,70,15,5,0,49.5,139.5
628,3019,71,10,5,10,43.5,139.5
629,3248,70,15,5,10,39.5,139.5
630,5623,71,20,10,10,28.5,139.5
631,4523,70,10,0,10,49.5,139.5
632,5331,72,10,5,10,42.5,139.5
633,6030,71,20,-10,10,48.5,139.5
634,5392,74,15,10,10,30.5,139.5
635,11,71,20,-5,10,43.5,139.5
636,849,67,10,10,10,42.0,139.0
637,4092,70,20,5,0,44.0,139.0
638,403,73,20,0,10,36.0,139.0
639,1396,75,20,0,10,34.0,139.0
640,2627,71,10,5,10,43.0,139.0
641,5956,67,15,0,10,47.0,139.0
642,1729,69,10,5,10,45.0,139.0
643,2089,71,15,5,10,38.0,139.0
644,2515,69,20,10,10,30.0,139.0
645,3436,72,20,0,0,47.0,139.0
646,3779,70,10,0,10,49.0,139.0
647,3490,72,20,10,0,37.0,139.0
648,5471,70,15,10,0,44.0,139.0
649,3867,72,20,5,10,32.0,139.0
650,4536,70,20,5,10,34.0,139.0
651,2716,73,10,10,10,36.0,139.0
652,4848,76,20,0,10,33.0,139.0
653,1417,72,20,0,0,47.0,139.0
654,2872,71,10,10,10,38.0,139.0
655,174,71,20,0,10,38.0,139.0
656,5313,68,10,10,10,41.0,139.0
657,1775,70,15,5,10,39.0,139.0
658,2225,75,20,5,10,29.0,139.0
659,437,71,20,0,0,48.0,139.0
660,746,71,20,15,0,33.0,139.0
661,3147,72,15,0,10,42.0,139.0
662,2535,73,10,15,10,31.0,139.0
663,5794,72,15,0,10,42.0,139.0
664,2274,71,10,10,0,48.0,139.0
